a_o,mes,departamento,ciudad,paisoeeresidencia,cant_extranjeros_no_residentes,codigo_pais_alpha3,codigo_pais_numerico
2025,Ene,Antioquia,Sabaneta,Afganistán,1,AFG,004
2025,Ene,Atlantico,Barranquilla,Afganistán,1,AFG,004
2025,Ene,Bogota D.C.,Bogotá D.C.,Afganistán,3,AFG,004
2025,Ene,Antioquia,Medellín,Albania,14,ALB,008
2025,Ene,Antioquia,Rionegro,Albania,1,ALB,008
2025,Ene,Bogota D.C.,Bogotá D.C.,Albania,25,ALB,008
2025,Ene,Bolivar,Cartagena,Albania,12,ALB,008
2025,Ene,Cordoba,Montería,Albania,1,ALB,008
2025,Ene,Cundinamarca,Girardot,Albania,1,ALB,008
2025,Ene,Cundinamarca,Mosquera,Albania,1,ALB,008
2025,Ene,Magdalena,Santa Marta,Albania,7,ALB,008
2025,Ene,Nariño,Ipiales,Albania,1,ALB,008
2025,Ene,Nariño,Pasto,Albania,2,ALB,008
2025,Ene,Risaralda,Pereira,Albania,1,ALB,008
2025,Ene,San Andres y Providencia,San Andrés,Albania,1,ALB,008
2025,Ene,Valle del Cauca,Cali,Albania,11,ALB,008
2025,Ene,Amazonas,Leticia,Alemania,46,DEU,276
2025,Ene,Antioquia,Abejorral,Alemania,5,DEU,276
2025,Ene,Antioquia,Barbosa,Alemania,1,DEU,276
2025,Ene,Antioquia,Bello,Alemania,10,DEU,276
2025,Ene,Antioquia,Copacabana,Alemania,1,DEU,276
2025,Ene,Antioquia,El Santuario,Alemania,1,DEU,276
2025,Ene,Antioquia,Envigado,Alemania,14,DEU,276
2025,Ene,Antioquia,Fredonia,Alemania,1,DEU,276
2025,Ene,Antioquia,Girardota,Alemania,1,DEU,276
2025,Ene,Antioquia,Guatape,Alemania,4,DEU,276
2025,Ene,Antioquia,Itagui,Alemania,3,DEU,276
2025,Ene,Antioquia,Jericó,Alemania,2,DEU,276
2025,Ene,Antioquia,La Ceja,Alemania,7,DEU,276
2025,Ene,Antioquia,La Estrella,Alemania,1,DEU,276
2025,Ene,Antioquia,Medellín,Alemania,1146,DEU,276
2025,Ene,Antioquia,Peñol,Alemania,1,DEU,276
2025,Ene,Antioquia,Retiro,Alemania,3,DEU,276
2025,Ene,Antioquia,Rionegro,Alemania,17,DEU,276
2025,Ene,Antioquia,Sabanalarga,Alemania,1,DEU,276
2025,Ene,Antioquia,Sabaneta,Alemania,4,DEU,276
2025,Ene,Antioquia,San Rafael,Alemania,1,DEU,276
2025,Ene,Antioquia,Santo Domingo,Alemania,1,DEU,276
2025,Ene,Antioquia,Turbo,Alemania,2,DEU,276
2025,Ene,Atlantico,Baranoa,Alemania,3,DEU,276
2025,Ene,Atlantico,Barranquilla,Alemania,147,DEU,276
2025,Ene,Atlantico,Malambo,Alemania,1,DEU,276
2025,Ene,Atlantico,Puerto Colombia,Alemania,3,DEU,276
2025,Ene,Atlantico,Soledad,Alemania,1,DEU,276
2025,Ene,Bogota D.C.,Bogotá D.C.,Alemania,3712,DEU,276
2025,Ene,Bolivar,Achí,Alemania,2,DEU,276
2025,Ene,Bolivar,Arjona,Alemania,3,DEU,276
2025,Ene,Bolivar,Calamar,Alemania,1,DEU,276
2025,Ene,Bolivar,Cartagena,Alemania,940,DEU,276
2025,Ene,Bolivar,Turbaco,Alemania,1,DEU,276
2025,Ene,Bolivar,Turbaná,Alemania,1,DEU,276
2025,Ene,Boyaca,Boyacá,Alemania,1,DEU,276
2025,Ene,Boyaca,Duitama,Alemania,2,DEU,276
2025,Ene,Boyaca,Garagoa,Alemania,1,DEU,276
2025,Ene,Boyaca,Paipa,Alemania,4,DEU,276
2025,Ene,Boyaca,Ráquira,Alemania,1,DEU,276
2025,Ene,Boyaca,Samacá,Alemania,1,DEU,276
2025,Ene,Boyaca,Sogamoso,Alemania,3,DEU,276
2025,Ene,Boyaca,Tunja,Alemania,3,DEU,276
2025,Ene,Boyaca,Villa de Leyva,Alemania,4,DEU,276
2025,Ene,Caldas,La Dorada,Alemania,1,DEU,276
2025,Ene,Caldas,Manizales,Alemania,7,DEU,276
2025,Ene,Caldas,Riosucio,Alemania,1,DEU,276
2025,Ene,Caldas,San José,Alemania,1,DEU,276
2025,Ene,Caldas,Supía,Alemania,1,DEU,276
2025,Ene,Caldas,Villamaría,Alemania,1,DEU,276
2025,Ene,Caqueta,Florencia,Alemania,3,DEU,276
2025,Ene,Casanare,Aguazul,Alemania,1,DEU,276
2025,Ene,Casanare,Yopal,Alemania,1,DEU,276
2025,Ene,Cauca,Bolívar,Alemania,1,DEU,276
2025,Ene,Cauca,Cajibío,Alemania,1,DEU,276
2025,Ene,Cauca,Popayán,Alemania,7,DEU,276
2025,Ene,Cesar,San Alberto,Alemania,1,DEU,276
2025,Ene,Cesar,Valledupar,Alemania,3,DEU,276
2025,Ene,Choco,Acandí,Alemania,32,DEU,276
2025,Ene,Cordoba,Montería,Alemania,7,DEU,276
2025,Ene,Cundinamarca,Anapoima,Alemania,5,DEU,276
2025,Ene,Cundinamarca,Anolaima,Alemania,1,DEU,276
2025,Ene,Cundinamarca,Cajicá,Alemania,6,DEU,276
2025,Ene,Cundinamarca,Chía,Alemania,21,DEU,276
2025,Ene,Cundinamarca,Choachí,Alemania,6,DEU,276
2025,Ene,Cundinamarca,Cogua,Alemania,2,DEU,276
2025,Ene,Cundinamarca,Cota,Alemania,2,DEU,276
2025,Ene,Cundinamarca,Facatativá,Alemania,1,DEU,276
2025,Ene,Cundinamarca,Funza,Alemania,1,DEU,276
2025,Ene,Cundinamarca,Fusagasugá,Alemania,4,DEU,276
2025,Ene,Cundinamarca,Girardot,Alemania,1,DEU,276
2025,Ene,Cundinamarca,La Calera,Alemania,2,DEU,276
2025,Ene,Cundinamarca,La Vega,Alemania,2,DEU,276
2025,Ene,Cundinamarca,Macheta,Alemania,1,DEU,276
2025,Ene,Cundinamarca,Madrid,Alemania,1,DEU,276
2025,Ene,Cundinamarca,Soacha,Alemania,2,DEU,276
2025,Ene,Cundinamarca,Tocaima,Alemania,1,DEU,276
2025,Ene,Cundinamarca,Tocancipá,Alemania,3,DEU,276
2025,Ene,Cundinamarca,Ubaque,Alemania,1,DEU,276
2025,Ene,Cundinamarca,Útica,Alemania,1,DEU,276
2025,Ene,Cundinamarca,Zipaquirá,Alemania,8,DEU,276
2025,Ene,Guainia,Inírida,Alemania,4,DEU,276
2025,Ene,Huila,Acevedo,Alemania,1,DEU,276
2025,Ene,Huila,Aipe,Alemania,2,DEU,276
2025,Ene,Huila,Garzón,Alemania,1,DEU,276
2025,Ene,Huila,Neiva,Alemania,4,DEU,276
2025,Ene,Huila,Pitalito,Alemania,1,DEU,276
2025,Ene,Huila,San Agustín,Alemania,1,DEU,276
2025,Ene,La Guajira,Dibulla,Alemania,3,DEU,276
2025,Ene,La Guajira,Maicao,Alemania,2,DEU,276
2025,Ene,La Guajira,Riohacha,Alemania,8,DEU,276
2025,Ene,La Guajira,Uribia,Alemania,1,DEU,276
2025,Ene,Magdalena,Algarrobo,Alemania,3,DEU,276
2025,Ene,Magdalena,Santa Ana,Alemania,1,DEU,276
2025,Ene,Magdalena,Santa Marta,Alemania,222,DEU,276
2025,Ene,Magdalena,Sitionuevo,Alemania,1,DEU,276
2025,Ene,Meta,Acacías,Alemania,1,DEU,276
2025,Ene,Meta,Villavicencio,Alemania,18,DEU,276
2025,Ene,Nariño,Chachagüí,Alemania,5,DEU,276
2025,Ene,Nariño,Ipiales,Alemania,22,DEU,276
2025,Ene,Nariño,Pasto,Alemania,36,DEU,276
2025,Ene,Nariño,San Andres de Tumaco,Alemania,1,DEU,276
2025,Ene,Norte de Santander,Cúcuta,Alemania,19,DEU,276
2025,Ene,Norte de Santander,Pamplona,Alemania,5,DEU,276
2025,Ene,Putumayo,Mocoa,Alemania,4,DEU,276
2025,Ene,Putumayo,Orito,Alemania,1,DEU,276
2025,Ene,Putumayo,Puerto Asís,Alemania,1,DEU,276
2025,Ene,Putumayo,San Miguel,Alemania,1,DEU,276
2025,Ene,Putumayo,Sibundoy,Alemania,2,DEU,276
2025,Ene,Putumayo,Valle del Guamuez,Alemania,1,DEU,276
2025,Ene,Quindio,Armenia,Alemania,22,DEU,276
2025,Ene,Quindio,Circasia,Alemania,2,DEU,276
2025,Ene,Quindio,Filandia,Alemania,1,DEU,276
2025,Ene,Quindio,Montenegro,Alemania,1,DEU,276
2025,Ene,Quindio,Salento,Alemania,29,DEU,276
2025,Ene,Risaralda,Apía,Alemania,1,DEU,276
2025,Ene,Risaralda,Belén de Umbría,Alemania,3,DEU,276
2025,Ene,Risaralda,Dosquebradas,Alemania,1,DEU,276
2025,Ene,Risaralda,Pereira,Alemania,39,DEU,276
2025,Ene,Risaralda,Quinchía,Alemania,7,DEU,276
2025,Ene,Risaralda,Santa Rosa de Cabal,Alemania,8,DEU,276
2025,Ene,San Andres y Providencia,Providencia,Alemania,46,DEU,276
2025,Ene,San Andres y Providencia,San Andrés,Alemania,33,DEU,276
2025,Ene,Santander,Aguada,Alemania,1,DEU,276
2025,Ene,Santander,Barbosa,Alemania,2,DEU,276
2025,Ene,Santander,Barichara,Alemania,2,DEU,276
2025,Ene,Santander,Bolívar,Alemania,1,DEU,276
2025,Ene,Santander,Bucaramanga,Alemania,58,DEU,276
2025,Ene,Santander,Floridablanca,Alemania,5,DEU,276
2025,Ene,Santander,Piedecuesta,Alemania,4,DEU,276
2025,Ene,Santander,Socorro,Alemania,2,DEU,276
2025,Ene,Santander,Suaita,Alemania,2,DEU,276
2025,Ene,Sucre,Sincelejo,Alemania,1,DEU,276
2025,Ene,Tolima,Armero,Alemania,1,DEU,276
2025,Ene,Tolima,Ibagué,Alemania,19,DEU,276
2025,Ene,Tolima,Líbano,Alemania,1,DEU,276
2025,Ene,Valle del Cauca,Alcalá,Alemania,5,DEU,276
2025,Ene,Valle del Cauca,Andalucía,Alemania,1,DEU,276
2025,Ene,Valle del Cauca,Buenaventura,Alemania,5,DEU,276
2025,Ene,Valle del Cauca,Bugalagrande,Alemania,3,DEU,276
2025,Ene,Valle del Cauca,Cali,Alemania,295,DEU,276
2025,Ene,Valle del Cauca,Cartago,Alemania,7,DEU,276
2025,Ene,Valle del Cauca,Dagua,Alemania,1,DEU,276
2025,Ene,Valle del Cauca,El Cerrito,Alemania,24,DEU,276
2025,Ene,Valle del Cauca,Ginebra,Alemania,5,DEU,276
2025,Ene,Valle del Cauca,Guacarí,Alemania,1,DEU,276
2025,Ene,Valle del Cauca,Guadalajara de Buga,Alemania,1,DEU,276
2025,Ene,Valle del Cauca,Jamundí,Alemania,6,DEU,276
2025,Ene,Valle del Cauca,Palmira,Alemania,21,DEU,276
2025,Ene,Valle del Cauca,Pradera,Alemania,1,DEU,276
2025,Ene,Valle del Cauca,Roldanillo,Alemania,65,DEU,276
2025,Ene,Valle del Cauca,Tuluá,Alemania,9,DEU,276
2025,Ene,Valle del Cauca,Yumbo,Alemania,1,DEU,276
2025,Ene,Antioquia,Medellín,Andorra,3,AND,020
2025,Ene,Bogota D.C.,Bogotá D.C.,Andorra,6,AND,020
2025,Ene,Magdalena,Santa Marta,Andorra,1,AND,020
2025,Ene,Meta,Villavicencio,Andorra,1,AND,020
2025,Ene,Tolima,Ibagué,Andorra,1,AND,020
2025,Ene,Valle del Cauca,Palmira,Andorra,1,AND,020
2025,Ene,Antioquia,Abejorral,Angola,1,AGO,024
2025,Ene,Antioquia,Medellín,Angola,1,AGO,024
2025,Ene,Bogota D.C.,Bogotá D.C.,Angola,8,AGO,024
2025,Ene,Norte de Santander,Cúcuta,Angola,1,AGO,024
2025,Ene,Santander,Barbosa,Angola,6,AGO,024
2025,Ene,Santander,Barichara,Angola,1,AGO,024
2025,Ene,Bogota D.C.,Bogotá D.C.,Anguila,1,AIA,660
2025,Ene,Norte de Santander,Cúcuta,Anguila,1,AIA,660
2025,Ene,Valle del Cauca,Cali,Anguila,3,AIA,660
2025,Ene,Antioquia,Medellín,Antigua y Barbuda,5,ATG,028
2025,Ene,Bogota D.C.,Bogotá D.C.,Antigua y Barbuda,2,ATG,028
2025,Ene,Bolivar,Cartagena,Antigua y Barbuda,3,ATG,028
2025,Ene,Cundinamarca,Chía,Antigua y Barbuda,2,ATG,028
2025,Ene,Santander,Bucaramanga,Antigua y Barbuda,1,ATG,028
2025,Ene,Valle del Cauca,Cali,Antigua y Barbuda,3,ATG,028
2025,Ene,Antioquia,Itagui,Antillas Neerlandesas,1,ANT,
2025,Ene,Antioquia,Medellín,Antillas Neerlandesas,26,ANT,
2025,Ene,Antioquia,Rionegro,Antillas Neerlandesas,1,ANT,
2025,Ene,Atlantico,Baranoa,Antillas Neerlandesas,1,ANT,
2025,Ene,Atlantico,Barranquilla,Antillas Neerlandesas,2,ANT,
2025,Ene,Bogota D.C.,Bogotá D.C.,Antillas Neerlandesas,9,ANT,
2025,Ene,Magdalena,Santa Marta,Antillas Neerlandesas,1,ANT,
2025,Ene,Norte de Santander,Cúcuta,Antillas Neerlandesas,1,ANT,
2025,Ene,Risaralda,Pereira,Antillas Neerlandesas,2,ANT,
2025,Ene,Valle del Cauca,Buenaventura,Antillas Neerlandesas,1,ANT,
2025,Ene,Valle del Cauca,Cali,Antillas Neerlandesas,8,ANT,
2025,Ene,Valle del Cauca,Tuluá,Antillas Neerlandesas,1,ANT,
2025,Ene,Antioquia,Medellín,Arabia Saudita,6,SAU,682
2025,Ene,Bogota D.C.,Bogotá D.C.,Arabia Saudita,16,SAU,682
2025,Ene,Bolivar,Cartagena,Arabia Saudita,2,SAU,682
2025,Ene,Huila,Pitalito,Arabia Saudita,1,SAU,682
2025,Ene,San Andres y Providencia,San Andrés,Arabia Saudita,1,SAU,682
2025,Ene,Bogota D.C.,Bogotá D.C.,Argelia,3,DZA,012
2025,Ene,Magdalena,Santa Marta,Argelia,1,DZA,012
2025,Ene,Amazonas,Leticia,Argentina,4,ARG,032
2025,Ene,Antioquia,Abejorral,Argentina,9,ARG,032
2025,Ene,Antioquia,Anza,Argentina,1,ARG,032
2025,Ene,Antioquia,Armenia,Argentina,1,ARG,032
2025,Ene,Antioquia,Barbosa,Argentina,1,ARG,032
2025,Ene,Antioquia,Bello,Argentina,13,ARG,032
2025,Ene,Antioquia,Caldas,Argentina,1,ARG,032
2025,Ene,Antioquia,Cocorná,Argentina,1,ARG,032
2025,Ene,Antioquia,El Carmen de Viboral,Argentina,1,ARG,032
2025,Ene,Antioquia,Envigado,Argentina,15,ARG,032
2025,Ene,Antioquia,Guatape,Argentina,3,ARG,032
2025,Ene,Antioquia,Itagui,Argentina,4,ARG,032
2025,Ene,Antioquia,La Ceja,Argentina,1,ARG,032
2025,Ene,Antioquia,Marinilla,Argentina,1,ARG,032
2025,Ene,Antioquia,Medellín,Argentina,1764,ARG,032
2025,Ene,Antioquia,Remedios,Argentina,1,ARG,032
2025,Ene,Antioquia,Retiro,Argentina,1,ARG,032
2025,Ene,Antioquia,Rionegro,Argentina,63,ARG,032
2025,Ene,Antioquia,Sabaneta,Argentina,7,ARG,032
2025,Ene,Antioquia,San Jerónimo,Argentina,5,ARG,032
2025,Ene,Antioquia,San Luis,Argentina,1,ARG,032
2025,Ene,Antioquia,San Rafael,Argentina,1,ARG,032
2025,Ene,Antioquia,Sopetrán,Argentina,1,ARG,032
2025,Ene,Antioquia,Yalí,Argentina,1,ARG,032
2025,Ene,Arauca,Arauca,Argentina,1,ARG,032
2025,Ene,Arauca,Saravena,Argentina,1,ARG,032
2025,Ene,Atlantico,Barranquilla,Argentina,104,ARG,032
2025,Ene,Atlantico,Puerto Colombia,Argentina,3,ARG,032
2025,Ene,Atlantico,Soledad,Argentina,2,ARG,032
2025,Ene,Bogota D.C.,Bogotá D.C.,Argentina,5054,ARG,032
2025,Ene,Bolivar,Achí,Argentina,6,ARG,032
2025,Ene,Bolivar,Arenal,Argentina,1,ARG,032
2025,Ene,Bolivar,Cantagallo,Argentina,1,ARG,032
2025,Ene,Bolivar,Cartagena,Argentina,4346,ARG,032
2025,Ene,Bolivar,Cicuco,Argentina,1,ARG,032
2025,Ene,Bolivar,Turbaco,Argentina,1,ARG,032
2025,Ene,Boyaca,Almeida,Argentina,1,ARG,032
2025,Ene,Boyaca,Belén,Argentina,1,ARG,032
2025,Ene,Boyaca,Boavita,Argentina,1,ARG,032
2025,Ene,Boyaca,Chitaraque,Argentina,2,ARG,032
2025,Ene,Boyaca,Duitama,Argentina,5,ARG,032
2025,Ene,Boyaca,Garagoa,Argentina,1,ARG,032
2025,Ene,Boyaca,Moniquirá,Argentina,1,ARG,032
2025,Ene,Boyaca,Paipa,Argentina,1,ARG,032
2025,Ene,Boyaca,Puerto Boyacá,Argentina,2,ARG,032
2025,Ene,Boyaca,Sogamoso,Argentina,7,ARG,032
2025,Ene,Boyaca,Tunja,Argentina,19,ARG,032
2025,Ene,Boyaca,Villa de Leyva,Argentina,1,ARG,032
2025,Ene,Caldas,Anserma,Argentina,1,ARG,032
2025,Ene,Caldas,La Dorada,Argentina,1,ARG,032
2025,Ene,Caldas,Manizales,Argentina,19,ARG,032
2025,Ene,Caldas,Palestina,Argentina,1,ARG,032
2025,Ene,Caldas,Salamina,Argentina,1,ARG,032
2025,Ene,Caqueta,Cartagena del Chairá,Argentina,2,ARG,032
2025,Ene,Caqueta,Florencia,Argentina,2,ARG,032
2025,Ene,Casanare,Maní,Argentina,1,ARG,032
2025,Ene,Casanare,Villanueva,Argentina,4,ARG,032
2025,Ene,Casanare,Yopal,Argentina,5,ARG,032
2025,Ene,Cauca,Popayán,Argentina,8,ARG,032
